,Made from,Country of origin,Region,Type,Family,Fat content,Texture,Rind,Colour,Flavour,Aroma,Vegetarian,Producers
Pecorino Gelsomino,pasteurized sheep's milk,Italy,Emilia-Romagna,"hard, artisan",Pecorino,,crumbly and flaky,natural,ivory,"creamy, milky","aromatic, floral",,Romaniae Terrae
Pecorino Ginepro,pasteurized sheep's milk,Italy,Emilia-Romagna,"semi-hard, artisan",Pecorino,,chalky and grainy,natural,white,"fruity, savory","fruity, woody",,
Pecorino Gran Riserva Del Passatore,sheep's milk,Italy,Emilia-Romagna,"semi-hard, artisan",Pecorino,,smooth,natural,white,"smooth, sweet","fresh, milky, pleasant",,Romaniae Terrae
Pecorino in Walnut Leaves,pasteurized sheep's milk,Italy,Emilia-Romagna,"hard, artisan",Pecorino,40%,dense and firm,leaf wrapped,white,"buttery, herbaceous, nutty, sweet","earthy, herbal", no ,
Pecorino Mallo di Noce,pasteurized sheep's milk,Italy,Emilia-Romagna,"semi-hard, artisan",Pecorino,,crumbly and grainy,natural,white,"milky, nutty, subtle, sweet",nutty,,Romaniae Terrae
Pecorino nel fieno,pasteurized sheep's milk,Italy,Pienza,"soft, artisan",,,soft,natural,pale yellow,,,,La Casera srl
Pecorino Nel Granaio,pasteurized sheep's milk,Italy,Emilia-Romagna,"semi-soft, artisan",Pecorino,,"creamy, crumbly, smooth and soft",natural,pale yellow,creamy,"rich, strong",,Romaniae Terrae
Pecorino Nero,unpasteurized sheep's milk,Italy,Tuscany,"soft, artisan",,,creamy and smooth,,ivory,"pungent, subtle","mild, milky",,Caseificio Pinzani Srl 
Pecorino Ortica,unpasteurized sheep's milk,Italy,Emilia-Romagna,"semi-soft, artisan",Pecorino,,"compact, smooth and soft",leaf wrapped,straw,"herbaceous, piquant, savory, sharp","aromatic, strong",,Romaniae Terrae
Pecorino Papavero,pasteurized sheep's milk,Italy,Emilia-Romagna,"hard, artisan",Pecorino,,crumbly and flaky,natural,straw,"floral, herbaceous, smooth","aromatic, floral, herbal",,Romaniae Terrae
Pecorino Pepato Mitica(r) Aged,pasteurized sheep's milk,Italy,Sardegna,"semi-firm, artisan",,,creamy and flaky,natural,ivory,"spicy, tangy",spicy,,
Pecorino Pera,sheep's milk,Italy,Emilia-Romagna,"semi-hard, artisan",Pecorino,,crumbly and smooth,natural,ivory,"fruity, smooth, subtle, sweet","fruity, milky, sweet",,Romaniae Terrae
Pecorino Querciaiolo,pasteurized sheep's milk,Italy,Emilia-Romagna,semi-soft,Pecorino,,smooth,natural,white,"smooth, subtle",strong,,Romaniae Terrae
Pecorino Romagnolo,pasteurized sheep's milk,Italy,Emilia-Romagna,"semi-hard, artisan",Pecorino,,compact and crumbly,natural,ivory,"smooth, subtle",pronounced,,Romaniae Terrae
Pecorino Romano,pasteurized or unpasteurized sheep's milk,Italy,"Lazio, Sardinia, and Tuscany (Province of Grosseto)",hard,Pecorino,50%,"crumbly, dense, flaky and grainy",natural,pale yellow,"salty, sharp, smokey , spicy",strong, no ,
Pecorino Toscano DOP,pasteurized sheep's milk,Italy,Toscano,"semi-firm, firm",,,,,pale yellow,"fruity, nutty",buttery, no ,
Peekskill Pyramid,pasteurized cow's milk,United States,Peekskill,"soft, artisan",Brie,50%,creamy,rindless,pale yellow,"buttery, sour, sweet",rich, no ,Egg Farm Dairy
Pelardon des Cevennes,unpasteurized goat's milk,France,Languedoc ,"soft, soft-ripened",Tomme,,creamy,natural,white,"acidic, fruity",goaty, no ,
Pelardon des Corbieres,goat's milk,France,Languedoc-Roussillon,soft,,45%,,,,"acidic, sweet",, no ,
Pembrokeshire Extra Mature Cheddar,cow's milk,United Kingdom,Pembrokeshire ,"semi-soft, artisan",Cheddar,,crumbly and dense,,yellow,"strong, tangy",rich, no ,Pembrokeshire Cheese Company
Pembrokeshire Mature Cheddar,cow's milk,United Kingdom,Pembrokeshire,"semi-soft, artisan",Cheddar,,dense,,pale yellow,"smooth, tangy",strong,yes ,Pembrokeshire Cheese Company
Penamellera,"pasteurized cow's, goat's and sheep's milk",Spain,Asturias,"semi-hard, artisan",,,"creamy, dense and supple",natural,pale yellow,"acidic, bitter, herbaceous","aromatic, strong", no ,
Penbryn,cow's milk,"Great Britain, United Kingdom and Wales",,hard,Gouda,45%,,,,"buttery, fruity, grassy, nutty, sweet",,yes ,
Pencarreg,pasteurized cow's milk,Great Britain,Wales,"soft, blue-veined",Brie,40%,creamy,natural,pale yellow,smooth,rich, no ,
Pepato,unpasteurized sheep's milk,United States,California,"hard, artisan",,,creamy and flaky,natural,straw,"salty, spicy",spicy,yes ,Bellwether Farms
PepBert,pasteurized cow's milk,United States,Colorado,"soft, artisan",Camembert,12%,soft-ripened,,ivory,"creamy, spicy","buttery, strong",,MouCo Cheese Company
Peppercorn Gouda,unpasteurized cow's milk,United States,Utah,"semi-hard, artisan",Gouda,,"compact, crumbly and dense",natural,yellow,"mild, nutty, sharp, spicy",,,Rockhill Creamery
Pepper Jack,pasteurized cow's milk,United States,"Monterey, California",semi-soft,Monterey Jack,,creamy and smooth,natural,cream,"herbaceous, sharp, spicy","aromatic, herbal",yes ,
Pepper Rebel,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,50%,creamy,natural,yellow,"creamy, spicy","grassy, spicy, sweet",,Sulzberger Käserebellen Sennerei GmbH
Perail de Brebis,pasteurized or unpasteurized sheep's milk,France,Aveyron,"soft, artisan, soft-ripened",,50%,creamy and smooth,bloomy,pale yellow,"full-flavored, strong",earthy, no ,Vilactée (Biodéal)
Perlagrigia Sotto Cenere,pasteurized cow's milk,Italy,Veneto,soft,,,compact,ash coated,pale yellow,"sharp, spicy","aromatic, smokey", no ,La Casearia Carpenedo S.r.l.
Perroche,pasteurized goat's milk,England and United Kingdom,"Herefordshire, West Midlands","fresh soft, artisan",,,fluffy,,white,lemony,"aromatic, fresh, herbal",yes ,Neal's Yard Creamery
Petida,cow's milk,Germany,,"soft, brined",,25.6 g/100g,creamy,artificial,white,"mild, milky","clean, fresh",yes ,Bergader Privatkäserei GmbH
Petite Swiss,pasteurized cow's milk,United States,Wisconsin ,semi-hard,,,compact,natural,pale yellow,"mild, nutty, sweet","fresh, fruity",,Emmi Roth USA
Petit Pardou,cow's milk,France,Laruns,semi-hard,,50%,,natural,,,aromatic, no ,
Petit-Suisse,cow's milk,France,"Normandy , Auvilliers",fresh soft,,40%,creamy and smooth,rindless,white,"mild, sour, sweet, tangy",fresh,,Danone
Phoebe,goat's and sheep's milk,United States,"Tieton, Washington","fresh soft, brined",Feta,,soft,rindless,white,"milky, salty",fresh,,Tieton Farm & Creamery
Pianoforte,pasteurized cow's milk,United States,California,"soft, soft-ripened",,,creamy and soft,natural,pale yellow,"acidic, mushroomy, nutty",pleasant,,Andante Dairy 
Piave,pasteurized cow's milk,Italy,Veneto,"hard, artisan",,,"crystalline, dense and flaky",natural,,,,,
Piave Fresco,pasteurized cow's milk,Italy,Veneto,"semi-hard, artisan",Parmesan,,creamy and smooth,natural,ivory,"mild, milky, smooth","mild, milky, pleasant",,
Piave Mezzano,pasteurized cow's milk,,Veneto,"hard, artisan",Parmesan,,dense and firm,natural,pale yellow,"full-flavored, salty, sharp, strong","milky, pleasant",,
Piave Vecchio DOP,pasteurized cow's milk,Italy,Veneto,"hard, artisan",Parmesan,,"dense, firm and flaky",natural,golden yellow,"nutty, strong, sweet",,,
Piave Vecchio Selezione Oro,pasteurized cow's milk,Italy,Veneto,"hard, artisan",Parmesan,,"crumbly, dense, flaky and grainy",natural,yellow,"fruity, full-flavored, mild, sweet",,,
Picobello,pasteurized cow's milk,Netherlands,Huizen,hard,Gouda,45%,crumbly and open,waxed,golden yellow,"caramel, nutty, sweet",,,Westland Kaasexport B.V.
Picodon de Chevre,unpasteurized goat's milk,France,Ardèche and Drome,"soft, artisan",,45%,"creamy, crumbly, firm and smooth",natural,white,"full-flavored, sour, sweet","goaty, pungent", no ,
Picolo,pasteurized cow's milk,United States,California,"soft, artisan",,,soft-ripened,bloomy,pale yellow,"mushroomy, nutty, sweet",sweet,,Andante Dairy 
Picos de Europa,pasteurized cow's and goat's milk,Spain,Castilla Leon,"semi-soft, artisan, blue-veined",Blue,48%,"creamy, grainy and spreadable",leaf wrapped,blue,"sharp, spicy, tangy","aromatic, rich, strong", no ,
Pied-de-vent,unpasteurized cow's milk,Canada,Quebec,"semi-soft, blue-veined",Blue,27%,creamy and smooth,washed,cream,"mushroomy, nutty",rich, no ,Fromagerie du Pied-De-Vent
Pierce Pt,pasteurized cow's milk,United States,California,"soft, artisan",,,soft,bloomy,pale yellow,"savory, tangy","floral, herbal",yes ,Cowgirl Creamery
Pigouille,unpasteurized sheep's milk,France,Charentes ,"soft, artisan",,,"creamy, crumbly and grainy",mold ripened ,ivory,"acidic, salty, sweet, tangy",barnyardy,,
Pimento,unpasteurized cow's milk,United States,"Ann Arbor, Michigan","soft, artisan",,,creamy and crumbly,rindless,brown,spicy,, no ,Zingerman's Creamery
Pinconning,pasteurized cow's milk,United States,"Pinconning, Michigan",semi-hard,Cheddar,,creamy and open,natural,yellow,"mild, sharp",, no ,Pinconning Cheese Co.
Piora,unpasteurized cow's milk,Switzerland,Piora Valley ,hard,,,,,,,"aromatic, rich", no ,
Piper's Pyramide,goat's milk,United States,Indiana,"soft, artisan, soft-ripened",Brie,,"creamy, dense, fluffy and soft-ripened",bloomy,white,"buttery, milky, sweet","lactic, musty", no ,Capriole Goat Cheese
Pistol Point Cheddar,pasteurized cow's milk,United States,Oregon,"semi-hard, artisan",Cheddar,,creamy and crumbly,natural,pale yellow,"smokey , spicy",,yes ,Rogue Creamery
Pithtiviers au Foin,pasteurized cow's milk,France,"Centre , the department of Loiret","soft, artisan",Camembert,,smooth,natural,pale yellow,"burnt caramel, fruity",grassy, no ,Kraft Foods Company
Pizy ,pasteurized cow's milk,Canada,Quebec,"soft, artisan, soft-ripened",Tomme,27%,"creamy, smooth and soft",bloomy,ivory,"bitter, buttery, mild, milky, salty",mushroom,,Fromagerie La Suisse Normande
Pleasant Creek,goat's milk,United States,Oregon,hard,Swiss Cheese,,open and smooth,natural,yellow,"buttery, mild, nutty","fruity, grassy",yes ,Pholia Farm Creamery and Dairy
Pleasant Ridge Reserve,unpasteurized cow's milk,United States,Wisconsin,"semi-hard, artisan",,,"crystalline, firm and smooth",washed,golden yellow,"creamy, full-flavored, grassy, nutty",, no ,Uplands Cheese Company
Plymouth Cheese,unpasteurized cow's milk,United States,Vermont,"hard, artisan",Cheddar,,"firm, flaky and grainy",waxed,yellow,"buttery, fruity, full-flavored, nutty, smokey , spicy, tangy","rich, smokey, strong",,Plymouth Artisan Cheese
Podhalanski,cow's and sheep's milk,Poland,,"semi-hard, artisan",,40%,creamy and open,natural,pale yellow,smokey ,smokey, no ,
Point Reyes Bay Blue,pasteurized cow's milk,United States,California,"soft, artisan",Blue,,creamy and crumbly,natural,pale yellow,"buttery, caramel, creamy, salty, sweet","earthy, strong",,Point Reyes Farmstead Cheese Co
Point Reyes Original Blue,unpasteurized cow's milk,United States,California,"semi-soft, artisan, blue-veined",Blue,,buttery and creamy,natural,white,"creamy, milky, strong, sweet","fresh, milky, strong",yes ,Point Reyes Farmstead Cheese Co
Point Reyes Toma,pasteurized cow's milk,United States,California,"semi-hard, artisan",,,buttery and creamy,natural,ivory,"buttery, creamy",buttery,yes ,Point Reyes Farmstead Cheese Co
Poivre d'Ane,cow's and goat's milk,France,,"soft, artisan",,,smooth,natural,white,herbaceous,herbal,,
Pokolbin,cow's milk,Australia,Hunter Valley,"semi-soft, smear-ripened",,,,washed,,"sharp, spicy",, no ,Hunter Valley Cheese Company
Pompeii,cow's milk,Australia,South Australia,"semi-hard, artisan, smear-ripened",,45%,"crumbly, soft and supple",washed,cream,"herbaceous, sweet",herbal,yes ,Woodside Cheese Wrights
Pont l'Eveque,pasteurized or unpasteurized cow's milk,France,Basse-Normandie,soft,,45%,creamy,washed,pale yellow,full-flavored,, no ,
Port Nicholson,cow's milk,New Zealand,Wellington ,semi-soft,,40%,creamy and smooth,washed,orange,"sour, sweet",smokey,,
Port-Salut,pasteurized cow's milk,France,Brittany,semi-soft,,72.7%,creamy and smooth,washed,pale yellow,"acidic, mellow",, no ,Various
Postel,pasteurized cow's milk,Belgium,Postel,,,,,washed,,,, no ,
Pouligny-Saint-Pierre,unpasteurized goat's milk,France,Berry,soft,,,creamy and crumbly,natural,ivory,"acidic, sweet",goaty, no ,
Pourly,unpasteurized goat's milk,France,Burgund ,"soft, artisan",,45%,smooth,natural,pale yellow,sweet,fresh, no ,
Prairie Breeze Cheddar,pasteurized cow's milk,United States,Iowa,"hard, artisan",Cheddar,,"creamy, crumbly and grainy",natural,yellow,"nutty, sharp, sweet","grassy, mild",yes ,Milton Creamery LLC
Prairie Rose,,United States,Iowa,"semi-hard, artisan",Swiss Cheese,,creamy and open,natural,yellow,"creamy, full-flavored, smooth","grassy, mild, nutty",yes ,Milton Creamery LLC
Prairie Tomme,pasteurized sheep's milk,United States,Missouri,"semi-hard, artisan",Tomme,,firm and smooth,natural,cream,"buttery, nutty",, no ,Green Dirt Farm
Prastost,pasteurized cow's milk,Sweden,,semi-soft,Cheddar,45-50%,creamy,,yellow,"salty, spicy, strong","aromatic, rich", no ,Norrmejerier
President Brie,pasteurized cow's milk,France,,"soft, artisan, soft-ripened",Brie,,"buttery, creamy, runny and spreadable",bloomy,pale yellow,"buttery, creamy, subtle",rich,,Lactalis McLelland Ltd
President Camembert,pasteurized cow's milk,United States,New York,"semi-soft, soft-ripened",Camembert,,"creamy, firm and soft",bloomy,cream,"creamy, earthy",rich,,President Cheese
President Fat Free Feta,pasteurized cow's milk,France and United States,New York,"firm, artisan, brined",Feta,0 g/100g,crumbly,natural,white,"herbaceous, salty, tangy",fresh,,President Cheese
President Fresh Goat Cheese,pasteurized goat's milk,France,Poitou-Charentes,"fresh firm, artisan",,,dense and smooth,natural,white,"herbaceous, mild, sharp, smooth, tangy","fresh, goaty",,President Cheese
President Light Brie,pasteurized cow's milk,France,New York,"soft, soft-ripened",Brie,,"creamy, runny and smooth",bloomy,white,"creamy, mild, nutty, tangy",strong,,President Cheese
President Madrigal ,cow's milk,France,Loire valley,"semi-hard, artisan",Swiss Cheese,,"open, smooth and soft",natural,straw,"nutty, sweet",,,President Cheese
Prima Donna,pasteurized or unpasteurized cow's milk,Netherlands,,hard,Parmesan,,"crumbly, crystalline, firm and grainy",natural,yellow,"full-flavored, nutty, sweet",,,Vandersterre Groep International B.V.  
Prima Donna fino,pasteurized or unpasteurized cow's milk,Netherlands,,hard,Parmesan,30.5 g/100g,"crumbly, crystalline and firm",natural,pale yellow,"full-flavored, nutty, sweet",rich,,Vandersterre Groep International B.V.  
Prima Donna forte,,Netherlands,,hard,Parmesan,33 g/100g,"crumbly, crystalline, flaky and grainy",natural,yellow,"nutty, strong, sweet",,,Vandersterre Groep International B.V.  
Prima Donna leggero,pasteurized or unpasteurized cow's milk,Netherlands,,hard,Parmesan,18.3 g/100g,"crumbly, crystalline and firm",natural,yellow,"savory, sharp",,,Vandersterre Groep International B.V.  
Prima Donna maturo,pasteurized or unpasteurized cow's milk,Netherlands,,hard,Parmesan,32.3 g/100g,"crumbly, crystalline, firm and grainy",natural,yellow,sharp,,,Vandersterre Groep International B.V.  
Primo Fresco,sheep's milk,United States,California,"fresh soft, artisan",,,"creamy, fluffy and spreadable",natural,white,"salty, savory, subtle, tangy","fresh, mild",yes ,Weirauch Farm and Creamery
Prince-Jean,pasteurized cow's milk,Belgium,,"fresh soft, artisan",,,creamy,natural,white,buttery,"fresh, rich", no ,
Prix de Diane,pasteurized cow's milk,United States,Maine,"soft, artisan",Brie,,"creamy, soft and soft-ripened",bloomy,pale yellow,"buttery, citrusy, creamy, subtle",rich,yes ,Lakin's Gorges Cheese LLC
Processed Cheddar,pasteurized cow's milk,,,"semi-hard, processed",Cheddar,,creamy and smooth,,,sharp,, no ,
Processed Cheese,pasteurized cow's milk,,,"soft, semi-soft, processed",,,"creamy, smooth, spreadable and springy",plastic,,,, no ,Various
Processed Smoked Gouda,pasteurized cow's milk,United States,Wisconsin,"semi-hard, processed",Gouda,,creamy,natural,straw,"creamy, mild, smokey ",smokey,,Emmi Roth USA
Promontory,pasteurized cow's milk,United States,Utah,"hard, artisan",Cheddar,,creamy and firm,,pale yellow,"buttery, citrusy","fruity, rich",yes ,Beehive Cheese Company
Provel,pasteurized cow's milk,United States,"St. Louis, Missouri","soft, processed",Cheddar,,buttery and gooey,plastic,white,buttery,smokey, no ,
Providence,pasteurized goat's milk,United States,North Carolina,"semi-soft, artisan",,,compact and crumbly,washed,pale yellow,creamy,yeasty, no ,Goat Lady Dairy
Provoleta,pasteurized water buffalo's milk,Argentina,,"semi-hard, artisan",Pasta filata,45%,"creamy, smooth and springy",,pale yellow,"mild, smokey ",fresh, no ,
Provolone,pasteurized or unpasteurized cow's milk,Italy,Po valley region,"semi-hard, artisan",Pasta filata,,"firm, grainy and open",waxed,pale yellow,"buttery, mild, sharp, spicy, sweet, tangy",pleasant,,
Provolone del Monaco,unpasteurized cow's milk,Italy,Naples,"semi-hard, artisan",Pasta filata,40.5%,"firm, grainy and open",waxed,pale yellow,"buttery, spicy, sweet",pleasant, no ,
Provolone Mandarino Gran Riserva,pasteurized or unpasteurized cow's milk,Italy,Veneto,"semi-hard, artisan",Pasta filata,,"elastic, stringy and supple",natural,white,"pronounced, spicy, subtle",spicy, no ,La Casearia Carpenedo S.r.l.
Provolone Valpadana,unpasteurized cow's milk,Italy,Milan to Udine,"semi-hard, artisan",Pasta filata,,"firm, grainy and open",waxed,pale yellow,"mild, smokey , spicy, sweet","pleasant, smokey", no ,
PsycheDillic,pasteurized goat's milk,United States,California,fresh soft,,,"creamy, smooth and spreadable",rindless,white,"creamy, full-flavored, herbaceous",aromatic,yes ,Cypress Grove Chevre
P'tit Basque,pasteurized sheep's milk,France,"Basque, Pyrenees Mountains","semi-hard, artisan",,45%,"creamy, dry and smooth",natural,ivory,"earthy, mild, nutty, pungent, subtle, sweet","fresh, lactic, pleasant",,
P'tit Berrichon,pasteurized goat's milk,France,Berry,"soft, artisan",,,soft-ripened,leaf wrapped,white,sweet,goaty, no ,
Pule,donkey's milk,Serbia,Zasavica,artisan,,,crumbly,,white,,,,
Purple Haze,pasteurized goat's milk,United States,California,fresh soft,,,"creamy, crumbly, smooth and spreadable",rindless,white,"earthy, herbaceous",aromatic,yes ,Cypress Grove Chevre
Purple's a Must,pasteurized cow's and goat's milk,Canada and Italy,Lombardy,"semi-hard, artisan, blue-veined",Blue,,creamy and crumbly,mold ripened ,pale yellow,"full-flavored, strong",rich,,Fifth Town Artisan Cheese
Pyengana Cheddar,pasteurized cow's milk,Australia,Tasmania,"semi-hard, hard, artisan",Cheddar,,"creamy, crumbly and smooth",natural,pale yellow,"acidic, full-flavored, herbaceous, savory, spicy","grassy, herbal", no ,Pyengana Dairy Company
